AD_ID;COD;DES
742;44900;Storia economica
743;44901;Macroeconomia
744;44917;Automazione industriale II
745;44919;Sistemi di telecomunicazioni
746;44920;Telematica
747;44921;Teoria e tecnica elaborazione immagine
748;44925;Informatica industriale II
750;44931;Sistemi informativi IV
751;44934;Sistemi opreativi III
760;44936;Economia e organizzazione aziendale II
761;44937;Economia e organizzazione aziendale III
763;44939;Gestione informazione aziendale
765;44942;Sistemi informativi III
769;44946;Sistemi di elaborazione I
767;44944;Elettronica applicata
768;44945;Ingegneria e conoscenza sistemi esperti
770;44947;Sistemi di elaborazione II
771;44948;Cultura d'impresa
772;44949;Teoria dei sistemi
773;44950;Modelli di sistemi di produzione
774;44951;Fondamenti e metodi di progettazione industriale
775;44952;Lingua tedesca
776;44953;Lingua francese
777;44954;Metodi numerici per l'ingegneria
778;44955;Modelli per il supporto/decisioni
779;44956;Ricerca opreativa
780;44957;Automazione industriale
781;44958;Informatica grafica
782;44959;Modellistica e identificazione
783;44962;Analisi matematica I 2md.
784;44963;Ricerca operativa 2md.
785;44964;Sistemi di elaborazioni II 2md.
786;44965;Basi di dati 2md.
787;44966;Sistemi informativi 2md.
788;44967;Telematica 2md.
789;44968;Comunicazioni elettriche
790;44969;Economia ed organizzazione aziendale IV
791;44970;Elettrotecnica integr. con elettronica 3 md.
792;44971;Automazione industriale II 2md.
793;44972;Geometria
794;44973;Disegno tecnico industriale I
795;44974;Tecnologia e meccanica
796;44975;Meccanica 2 md.
797;44976;Fisica tecnica e di sistemi energetici 2md.
798;44977;Scienza dei materiali e metallurgia 2md.
799;44979;Metallurgia dei metalli non ferrosi
800;44980;Complementi di elettronica industriale 1
801;44981;Complementi di elettronica industriale 2
802;44982;Complementi di sistemi informatici ibridi
803;44983;Elettrotecnica
804;44984;Scienza e tecnologia dei materiali polimerici
805;44985;Scienza e tecnologia dei materiali compositi
806;44986;Scienza e tecnologia dei materiali ceramici
807;44987;Impianti metallurgici
808;44988;Costruzioni di macchine
809;44989;Macchine
810;44990;Impianti meccanici 2 md.
811;44960;Fondamenti di informatica 2md.
812;44961;Calcolo delle probabilità 2md.
813;44978;Analisi strumentale e controllo dei materiali
814;44999;Crediti riconosciuti da precedenti curriculum come sopra riportati
815;50000;Psicologia generale
816;50001;Psicometria
817;50002;Filosofia della scienza
818;50003;Psicologia della percezione
819;50004;Neuroscienze cognitive e cliniche
820;50005;Psicobiologia e neuropsicologia
821;50006;Analisi matematica
822;50007;Lingua inglese
823;50008;Analisi dei dati con applicazioni informatiche di base
824;50009;Psicologia sociale
825;50010;Psicologia cognitiva di base
826;50011;Psicologia apprendimento e memoria
827;50012;Psicologia del pensiero
828;50013;Psicologia sociale avanzato
829;50014;Intelligenza artificiale
830;50015;Fisiologia
831;50016;Informatica
832;50017;Filosofia del linguaggio
833;50018;Web programming
834;50019;Pedagogia interculturale
835;50020;Sociologia dei processi comunicativi
836;50021;Antropologia culturale
838;50023;Psicolinguistica
839;50024;Psicologia economica
840;50025;Ergonomia cognitiva
841;50026;Organizzazione aziendale
842;50027;Tirocinio formativo
843;50028;Prova finale
844;35002;Antropologia culturale (A) - Le origini dell'antropologia culturale e le scuole di pensiero
845;35003;Antropologia culturale (B) - I legami tra gli individui, i rapporti con l'ambiente e le relazioni con i simboli
1;20000;Test di matematica
2;20002;Contabilità aziendale e bilancio
3;20006;Diritto commerciale
4;20013;Diritto privato dei contratti e delle organizzazioni
5;20014;Diritto pubblico 2
6;20019;Economia 1
8;20022;Economia aziendale 1
9;20023;Economia aziendale 2
