1;0201B;Giurisprudenza
2;0202C;Scienze Giuridiche
3;0203C;Scienze Giuridiche Europee e Transnazionali
4;0301A;Corso di diploma in Tecnologie industriali dei materiali
5;0302A;Diploma Universitario in Ingegneria Informatica
6;0304A;Diploma Universitario in Ingegeria dell'Ambiente e delle Risorse
7;0305B;Ingegneria Civile
8;0306B;Ingegneria Forestale
9;0307B;Ingegneria delle Telecomunicazioni
10;0308B;Ingegneria dei Materiali
11;0309B;Ingegneria per l'Ambiente e il Territorio
12;0410D;Filosofia e linguaggi della modernità
13;0310C;Ingegneria Civile (triennale)
14;0501A;Diploma Universitario in Metodologie fisiche
15;0502B;Fisica
20;0503B;Matematica
21;0504B;Informatica
22;0505C;Fisica (triennale)
23;0506C;Fisica applicata
24;0507C;Informatica (triennale)
25;0508C;Matematica (triennale)
28;0509D;Fisica
29;0311C;Ingegneria per l'Ambiente e il Territorio (triennale)
30;0510D;Informatica
31;0511D;Matematica
32;0312C;Ingegneria del Controllo Ambientale
33;0512D;Fisica e tecnologie biomediche
34;0313C;Ingegneria Industriale
35;0602A;Diploma Universitario in Servizio Sociale
36;0314C;Ingegneria della Produzione Industriale
37;0603B;Sociologia
38;0315C;Ingegneria delle Industrie Alimentari
39;0604C;Sociologia (triennale)
40;0316C;Ingegneria delle Telecomunicazioni (triennale)
41;0605C;Società, politica e Istituzioni Europee
42;0606C;Servizio Sociale
43;0317C;Ingegneria dell'informazione e dell'organizzazione
44;0607D;Sociologia e ricerca sociale
45;0320E;Ingegneria Edile/Architettura
46;0608D;Metodologia e organizzazione del servizio sociale
47;0319D;Ingegneria delle Telecomunicazioni
48;0609D;Lavoro organizzazione e sistemi informativi
49;0610D;Società, territorio, ambiente
50;0101A;Diploma Universitario in Statistica
51;0401B;Lettere
52;0103B;Economia e Commercio
53;0402B;Lingue e Letterature Straniere
54;0104B;Economia Politica
55;0403C;Filosofia
56;0404C;Lettere (triennale)
57;0405C;Lingue e Letterature Moderne (triennale)
58;0106C;Economia e Diritto
59;0107C;Economia e gestione Aziendale
60;0406C;Mediazione Linguistica per le Imprese e il Turismo
61;0108C;Economia delle Organizzazioni Nonprofit e delle Cooperative Sociali
62;0109C;Scienze Economiche e Sociali
63;0407C;Scienze dei Beni Culturali
64;0408C;Scienze Storiche
65;0110D;Management e consulenza aziendale
66;0409B;Lingue e Letterature Straniere Moderne
67;0111D;Net-Economy. Tecnologia e management dell'informazione e della conoscenza
68;0701C;Scienze e Tecniche di Psicologia Cognitiva Applicata
